comment_id,username,comment_text
1,alice,"You are such an idiot!"
2,bob,"Great job on your work!"
3,charlie,"I hate everything you stand for."
4,dana,"You're a stupid piece of garbage."
5,emma,"Have a wonderful day!"
6,frank,"Nice effort, keep improving!"
7,grace,"You suck!"
8,harry,"Absolutely fantastic performance."
9,ivy,"This is the worst post I've ever seen."
10,jack,"You're amazing, love your attitude."
11,karen,"Shut your mouth, nobody cares."
12,leo,"Very inspiring!"
13,mona,"You are worthless and dumb."
14,nick,"Good morning, everyone!"
15,olivia,"You're a genius!"
16,paul,"Just stop talking, you're embarrassing."
17,quinn,"Well played!"
18,rachel,"This is so dumb, can't believe it."
19,sam,"You're the best!"
20,tina,"What a load of nonsense."
21,umar,"Keep spreading positivity!"
22,violet,"You are a waste of space."
23,will,"This is helpful, thanks!"
24,xena,"Trash content, go delete your account."
25,yuri,"I appreciate your effort."
26,zara,"You're a piece of garbage, honestly."
27,arthur,"Kindly stop being a jerk."
28,betty,"Have a blessed day!"
29,craig,"This is trash, total garbage."
30,derek,"Nice work, keep it up!"
31,ella,"Get lost loser."
32,mike,"You are such a dumb clown!"
